Time	EMG	Muscle Force
18.567	0.171591	0.277683
18.568	0.883958	0.27806
18.569	1.00825	0.277683
18.57	0.675798	0.277683
18.571	0.116907	0.277683
18.572	-0.404211	0.277683
18.573	-0.676001	0.277683
18.574	-0.559272	0.27806
18.575	-0.0548727	0.277683
18.576	0.729738	0.277683
18.577	1.61501	0.277683
18.578	-8.38049	0.27806
18.579	20.4011	0.27806
18.58	-19.0847	0.277683
18.581	2.60838	0.27806
18.582	1.9098	0.277683
18.583	1.04918	0.277683
18.584	0.257987	0.277683
18.585	-0.251967	0.27806
18.586	-0.361237	0.27806
18.587	-0.117569	0.27806
18.588	0.308839	0.27806
18.589	0.679361	0.277683
18.59	0.701798	0.27806
18.591	0.201324	0.27806
18.592	-0.842769	0.27806
18.593	-2.273	0.27806
18.594	-3.79738	0.277683
18.595	1.86287	0.27806
18.596	2.76519	0.277683
18.597	9.40328	0.277683
18.598	-5.16501	0.277683
18.599	-3.90257	0.277683
18.6	-2.30058	0.277683
18.601	-0.64529	0.277683
18.602	0.782118	0.277683
18.603	1.74354	0.277683
18.604	2.08229	0.277683
18.605	1.68173	0.277683
18.606	0.617733	0.277683
18.607	-0.997446	0.277683
18.608	-2.911	0.277683
18.609	-4.78987	0.277683
18.61	-6.28012	0.277683
18.611	12.7976	0.277683
18.612	11.1093	0.277683
18.613	-12.726	0.277683
18.614	1.90613	0.277683
18.615	-2.79698	0.277683
18.616	-1.04828	0.27806
18.617	0.289542	0.277683
18.618	1.02155	0.277683
18.619	1.12935	0.277683
18.62	0.758025	0.277683
18.621	0.147935	0.277683
18.622	-0.427058	0.277683
18.623	-0.752871	0.277683
18.624	-0.689212	0.277683
18.625	-0.232196	0.277683
18.626	0.518354	0.277683
18.627	1.39132	0.277683
18.628	-6.89997	0.277683
18.629	20.3206	0.277683
18.63	-20.0239	0.277683
18.631	2.57111	0.277683
18.632	1.93345	0.277683
18.633	1.11563	0.277683
18.634	0.343898	0.277683
18.635	-0.169114	0.277683
18.636	-0.298947	0.277683
18.637	-0.089195	0.277683
18.638	0.298033	0.277683
18.639	0.631807	0.277683
18.64	0.624353	0.277683
18.641	0.105619	0.277683
18.642	-0.94043	0.277683
18.643	-2.35395	0.277683
18.644	-3.84446	0.277683
18.645	3.33516	0.277683
18.646	1.91204	0.277683
18.647	8.69627	0.277683
18.648	-5.04895	0.277683
18.649	-3.77518	0.277683
18.65	-2.17805	0.277683
18.651	-0.541032	0.277683
18.652	0.857613	0.277683
18.653	1.78171	0.277683
18.654	2.07396	0.277683
18.655	1.62326	0.277683
18.656	0.513232	0.277683
18.657	-1.1344	0.277683
18.658	-3.05438	0.277683
18.659	-4.90443	0.277683
18.66	-6.32948	0.277683
18.661	14.2013	0.277683
18.662	11.1747	0.277683
18.663	-13.9231	0.277683
18.664	1.41489	0.277683
18.665	-2.51304	0.277683
18.666	-0.800039	0.277683
18.667	0.473186	0.277683
18.668	1.12957	0.277683
18.669	1.16686	0.277683
18.67	0.739511	0.277683
18.671	0.0887678	0.277683
18.672	-0.511572	0.277683
18.673	-0.851061	0.277683
18.674	-0.790659	0.277683
18.675	-0.323363	0.277683
18.676	0.455019	0.277683
18.677	1.37436	0.277683
18.678	-5.33867	0.27806
18.679	19.6916	0.277683
18.68	-21.1943	0.277683
18.681	2.75668	0.277683
18.682	2.11857	0.277683
18.683	1.27392	0.27806
18.684	0.457998	0.27806
18.685	-0.105051	0.27806
18.686	-0.281191	0.27806
18.687	-0.111055	0.277683
18.688	0.245755	0.27806
18.689	0.558767	0.27806
18.69	0.539382	0.277683
18.691	0.0192621	0.27806
18.692	-1.01365	0.27806
18.693	-2.39722	0.277683
18.694	-3.40217	0.277683
18.695	4.19845	0.27806
18.696	0.951125	0.27806
18.697	8.19364	0.27806
18.698	-4.8997	0.27806
18.699	-3.63175	0.277683
18.7	-2.05499	0.27806
18.701	-0.445791	0.27806
18.702	0.922605	0.277683
